SEQUENCE: 
SCORE: total_score avg_degree complex_normalized           dG_cross dG_cross/dSASAx100 dG_separated dG_separated/dSASAx100 dSASA_hphobic dSASA_int dSASA_polar delta_unsatHbonds dslf_fa13    fa_atr    fa_dun   fa_elec fa_intra_rep fa_intra_sol_xover4              fa_rep              fa_sol hbond_E_fraction hbond_bb_sc hbond_lr_bb    hbond_sc hbond_sr_bb hbonds_int lk_ball_wtd    nres_all    nres_int       omega     p_aa_pp    packstat per_residue_energy_int pro_close rama_prepro         ref        rmsd    sc_value side1_normalized side1_score side2_normalized side2_score yhh_planarity description 
SCORE:   -2133.717     14.200             -2.931            -13.619             -0.908      -51.921                 -3.461       994.771  1500.144     505.373             5.000    -7.977 -4169.262   874.701 -1262.673        7.512             140.279             462.277            2494.525            0.202    -175.195    -250.127    -113.688    -168.535      7.000    -108.870     728.000      59.000      74.669    -170.862       0.000                 -2.806     3.664      46.140     187.492       0.509       0.000           -3.263    -117.474           -2.091     -48.089         2.214 3gbm_HA_3gbn_Ab_full_0013
SCORE:   -2123.203     14.146             -2.916             -5.774             -0.431      -28.928                 -2.161       675.778  1338.892     663.114             1.000    -8.129 -4150.751   869.166 -1268.158        7.479             139.845             447.568            2504.243            0.265    -170.549    -251.066    -120.229    -165.853      7.000    -107.846     728.000      66.000      79.339    -170.575       0.000                 -2.294     3.616      49.146     187.492       4.650       0.000           -3.024    -111.872           -1.362     -39.501         2.057 3gbm_HA_3gbn_Ab_full_0014
SCORE:   -2110.027     14.576             -2.898              0.000              0.000      -29.002                 -2.350       580.258  1233.978     653.720             8.000    -8.213 -4155.749   874.343 -1259.791        7.476             138.301             454.977            2502.599            0.306    -171.342    -250.451    -111.444    -165.078      8.000    -110.619     728.000      50.000      75.055    -170.926       0.000                 -2.352     3.575      47.202     187.492       9.503       0.000           -2.972     -74.311           -1.731     -43.270         2.566 3gbm_HA_3gbn_Ab_full_0015
SCORE:   -2150.496     14.250             -2.954            -14.647             -0.882      -61.579                 -3.708      1032.765  1660.597     627.832             7.000    -8.051 -4179.359   871.549 -1270.294        7.461             138.666             459.068            2504.673            0.216    -179.710    -250.295    -115.065    -163.841     10.000    -108.745     728.000      64.000      73.722    -169.563       0.000                 -2.986     3.214      46.646     187.492       1.020       0.000           -3.474    -128.554           -2.317     -62.565         1.935 3gbm_HA_3gbn_Ab_full_0016
SCORE:   -2152.758     14.310             -2.957            -15.994             -0.958      -60.530                 -3.624      1059.049  1670.025     610.976             6.000    -8.107 -4177.164   872.230 -1264.126        7.453             138.854             452.760            2497.110            0.185    -174.440    -251.966    -116.622    -163.228      8.000    -110.086     728.000      64.000      75.721    -170.607       0.000                 -2.937     3.737      45.994     187.492       0.664       0.000           -3.316    -125.999           -2.384     -61.990         2.236 3gbm_HA_3gbn_Ab_full_0017
SCORE:   -2130.572     14.512             -2.927            -12.622             -0.801      -48.226                 -3.062      1052.009  1575.089     523.081             8.000    -8.145 -4185.514   880.444 -1259.109        7.484             138.474             461.542            2500.503            0.211    -174.878    -250.271    -114.941    -164.858      7.000    -110.175     728.000      63.000      76.249    -170.355       0.000                 -2.860     3.474      49.630     187.492       0.785       0.000           -3.286    -124.859           -2.213     -55.320         2.382 3gbm_HA_3gbn_Ab_full_0018
SCORE:   -2107.348     14.018             -2.895             -2.244             -0.136      -24.270                 -1.469       853.962  1652.646     798.684             8.000    -8.195 -4164.692   875.079 -1252.892        7.481             140.536             452.549            2504.512            0.157    -169.256    -250.277    -107.966    -166.165      3.000    -109.974     728.000      74.000      76.140    -171.984       0.000                 -2.177     3.395      45.108     187.492       3.885       0.000           -2.627     -99.845           -1.702     -61.283         1.762 3gbm_HA_3gbn_Ab_full_0020
SCORE:   -2105.055     15.000             -2.892              0.000              0.000      -11.047                 -1.124       656.394   983.152     326.757             1.000    -8.215 -4140.121   867.992 -1247.069        7.467             140.113             446.238            2487.155           -0.000    -162.031    -249.835    -112.489    -166.949      0.000    -109.762     728.000      43.000      75.271    -170.911       0.000                 -2.023     3.788      44.664     187.492       9.844       0.000           -2.864     -71.593           -0.855     -15.384         2.146 3gbm_HA_3gbn_Ab_full_0022
SCORE:   -2110.518     15.433             -2.899              0.000              0.000      -14.670                 -1.508       671.945   973.092     301.146             1.000    -8.060 -4148.692   867.201 -1248.991        7.475             139.984             445.956            2494.850           -0.000    -164.555    -250.316    -110.108    -165.533      0.000    -112.389     728.000      46.000      75.636    -171.435       0.000                 -2.154     3.842      44.809     187.492      11.383       0.000           -2.875     -74.737           -1.216     -24.328         2.318 3gbm_HA_3gbn_Ab_full_0024
SCORE:   -2094.489     14.048             -2.877              0.000              0.000       -6.996                 -1.097       471.191   637.927     166.736             2.000    -7.946 -4139.426   872.354 -1242.651        7.504             138.974             450.666            2482.031           -0.000    -162.710    -249.801    -108.489    -167.245      0.000    -111.519     728.000      30.000      76.377    -170.888       0.000                 -1.939     3.628      45.143     187.492       9.744       0.000           -2.881     -46.098           -0.861     -12.058         2.017 3gbm_HA_3gbn_Ab_full_0025
